,separation (arcsec),5 sigma contrast,mass detection limit for 57 Myr (Mjup),mass lower limit for 38 Myr (Mjup),mass upper limit for 76 Myr (Mjup),mass detection limit for 100 Myr (Mjup),mass lower limit for 40 Myr (Mjup),mass upper limit for 600 Myr (Mjup)
157,2.02125,2.837849e-07,2.1531725,1.7776332,2.5595798,2.9923348,1.8308777,8.467899
158,2.0335002,2.824235e-07,2.148808,1.7748209,2.5545714,2.9873633,1.8280674,8.453695
159,2.0457501,2.8194373e-07,2.1472642,1.7738264,2.5528002,2.985605,1.8270735,8.448671
160,2.058,2.918947e-07,2.1787498,1.7941133,2.5889297,3.0214686,1.8473458,8.551139
161,2.07025,2.9586994e-07,2.1910288,1.8020251,2.60302,3.035455,1.8552518,8.591101
162,2.0825,2.9664187e-07,2.1933937,1.8035488,2.6057336,3.0381489,1.8567746,8.598797
163,2.0947502,2.9740602e-07,2.19573,1.8050541,2.6084144,3.0408099,1.8582788,8.6064
164,2.107,2.997074e-07,2.2027273,1.8095628,2.616444,3.0487804,1.8627841,8.629172
165,2.11925,3.028013e-07,2.21205,1.8155695,2.6271415,3.0593994,1.8687866,8.6595125
166,2.1315,3.0038308e-07,2.2047718,1.8108801,2.61879,3.051109,1.8641005,8.635826
167,2.1437502,2.9459892e-07,2.1871219,1.7995076,2.5985367,3.031005,1.8527362,8.578385
168,2.1560001,2.8492568e-07,2.1568148,1.7799801,2.5637593,2.9964836,1.8332227,8.4797535
169,2.16825,2.7749752e-07,2.1328356,1.7645295,2.5362432,2.9691699,1.8177834,8.401714
170,2.1805,2.688115e-07,2.1039672,1.7459286,2.5031166,2.9362872,1.7991959,8.324046
171,2.1927502,2.612343e-07,2.078012,1.7292051,2.4733331,2.906723,1.7824844,8.258481
172,2.2050002,2.5379714e-07,2.0525093,1.712312,2.4432478,2.876859,1.7656034,8.19225
173,2.21725,2.4582255e-07,2.0350976,1.6936392,2.4099932,2.843849,1.7469442,8.119042
174,2.2295,2.5477055e-07,2.0552688,1.7145509,2.447235,2.880817,1.7678407,8.201028
175,2.24175,2.5457408e-07,2.0545685,1.7140998,2.4464319,2.8800197,1.76739,8.19926
176,2.2540002,2.5293167e-07,2.0506458,1.7103134,2.4396887,2.873326,1.7636064,8.184415
177,2.2662501,2.498279e-07,2.0439122,1.7030922,2.4268281,2.8605602,1.7563903,8.156104
178,2.2785,2.4725227e-07,2.0382602,1.697031,2.4160335,2.8498452,1.7503335,8.13234
179,2.29075,2.4730272e-07,2.0383713,1.6971501,2.416246,2.8500557,1.7504526,8.132808
180,2.3030002,2.5030621e-07,2.0449555,1.7042111,2.4288208,2.8625383,1.7575085,8.160491
181,2.3152502,2.4809526e-07,2.040116,1.6990212,2.419578,2.8533635,1.7523223,8.140143
182,2.3275,2.4425037e-07,2.0315976,1.6898857,2.4033084,2.8372135,1.7431934,8.104327
183,2.33975,2.3966277e-07,2.0212567,1.6787959,2.3835585,2.8176088,1.7321116,8.060849
184,2.352,2.364147e-07,2.0138142,1.6708143,2.3693438,2.8034987,1.7241358,8.029556
185,2.3642502,2.3192159e-07,2.0033498,1.6595919,2.3493576,2.7836597,1.7129215,7.9855585
186,2.3765001,2.2780353e-07,1.9935789,1.6491135,2.3306963,2.7651358,1.7024506,7.944477
187,2.38875,2.2936764e-07,1.9973108,1.6531156,2.3378239,2.7722108,1.7064499,7.9601674
188,2.401,2.3648892e-07,2.0139856,1.6709982,2.3696713,2.803824,1.7243196,8.030277
189,2.4132502,2.3497594e-07,2.0104856,1.6672448,2.3629868,2.7971885,1.7205688,8.015562
190,2.4255002,2.3670628e-07,2.0144868,1.6715356,2.3706284,2.804774,1.7248565,8.032384
191,2.43775,2.3855503e-07,2.0187302,1.6760864,2.378733,2.812819,1.7294041,8.050226
