wavelength fstar fdust
28.65634164363606 0.022102158633694857 0.020016264042749265
27.372864571389737 0.02426716466059713 0.015771410672163165
26.146872624616396 0.026582861762095154 0.012374692269345317
24.975791125729636 0.029148931315781133 0.009670688675582111
23.85716071331598 0.03194531832224232 0.007528270288749831
22.78863217728644 0.035014312864076205 0.005844342412405983
21.76796152535423 0.03837830188821183 0.004527065849732806
20.79300527047801 0.04207501178618977 0.003494729173947832
19.86171592937392 0.04612163645964449 0.002687714326978923
18.972137722642763 0.05051735320610347 0.0020470721884434497
18.12240246748261 0.055373792027414555 0.001535745423921551
17.310725654360873 0.060652409300877216 0.0011375565139407262
16.535402699406745 0.06637657592656589 0.0008372337056623353
15.794805364653733 0.07277718863143089 0.000616651373372577
15.08737833861434 0.07969907695797801 0.0004576351789521136
