wavelength,flux,uncertainty
10.938691139221191,0.14304836094379425,0.005898649082629004
10.957538604736328,0.14344565570354462,0.006049810906135827
11.000784873962402,0.1436869502067566,0.006837698516313804
11.019633293151855,0.14362971484661102,0.005900887814558077
11.062878608703613,0.14341984689235687,0.006524548260224612
11.081727027893066,0.14197321236133575,0.006761410873478996
11.12497329711914,0.14001590013504028,0.005869461644818884
11.143820762634277,0.13998223841190338,0.006662589961869183
11.187067031860352,0.14061857759952545,0.005929033057759082
11.205915451049805,0.13090956211090088,0.005741830108946101
11.249161720275879,0.13744135200977325,0.007849806940301143
11.268009185791016,0.13883636891841888,0.007824482155388942
11.31125545501709,0.13644587993621826,0.0056882483243965365
11.330103874206543,0.12991295754909515,0.005711231128224457
11.373350143432617,0.13467712700366974,0.005753711324006445
11.392197608947754,0.12810605764389038,0.006482276837655115
